host,"host_short_name",role,customer
"diag-qsplunkclmed01-2021-07-28_10-32-30",qsplunkclmed01,"cluster_master",CustomerX
"diag-qsplunkclmed01-2021-07-28_10-32-30",qsplunkclmed01,"search_head",CustomerX
"diag-qsplunkclmed01-2021-07-29_15-44-16",qsplunkclmed01,"cluster_master",CustomerX
"diag-qsplunkclmed01-2021-07-29_15-44-16",qsplunkclmed01,"search_head",CustomerX
"diag-qsplunkidxea17-2021-07-30_14-29-48",qsplunkidxea17,indexer,CustomerX
"diag-qsplunkidxea19-2021-07-28_10-32-30",qsplunkidxea19,indexer,CustomerX
"diag-qsplunkidxeb06-2021-07-28_10-22-08",qsplunkidxeb06,indexer,CustomerX
"diag-qsplunkidxeb16-2021-07-29_15-46-14",qsplunkidxeb16,indexer,CustomerX
"diag-qsplunkidxeb44-2021-07-23_14-02-14",qsplunkidxeb44,indexer,CustomerX
